x_um,z_um,value,intensity
-8,0,1,1
-7.6,0,1,1
-7.2,0,1,1
-6.8,0,1,1
-6.4,0,1,1
-6,0,1,1
-5.6,0,1,1
-5.2,0,1,1
-4.8,0,1,1
-4.4,0,1,1
-4,0,1,1
-3.6,0,1,1
-3.2,0,1,1
-2.8,0,1,1
-2.4,0,1,1
-2,0,1,1
-1.6,0,1,1
-1.2,0,1,1
-0.8,0,1,1
-0.4,0,1,1
0,0,1,1
0.4,0,1,1
0.8,0,1,1
1.2,0,1,1
1.6,0,1,1
2,0,1,1
2.4,0,1,1
2.8,0,1,1
3.2,0,1,1
3.6,0,1,1
4,0,1,1
4.4,0,1,1
4.8,0,1,1
5.2,0,1,1
5.6,0,1,1
6,0,1,1
6.4,0,1,1
6.8,0,1,1
7.2,0,1,1
7.6,0,1,1
8,0,1,1
-8,2,1,1
-7.6,2,1,1
-7.2,2,1,1
-6.8,2,1,1
-6.4,2,1,1
-6,2,1,1
-5.6,2,1,1
-5.2,2,1,1
-4.8,2,1,1
-4.4,2,1,1
-4,2,1,1
-3.6,2,1,1
-3.2,2,1,1
-2.8,2,1,1
-2.4,2,1,1
-2,2,1,1
-1.6,2,1,1
-1.2,2,1,1
-0.8,2,1,1
-0.4,2,1,1
0,2,1,1
0.4,2,1,1
0.8,2,1,1
1.2,2,1,1
1.6,2,1,1
2,2,1,1
2.4,2,1,1
2.8,2,1,1
3.2,2,1,1
3.6,2,1,1
4,2,1,1
4.4,2,1,1
4.8,2,1,1
5.2,2,1,1
5.6,2,1,1
6,2,1,1
6.4,2,1,1
6.8,2,1,1
7.2,2,1,1
7.6,2,1,1
8,2,1,1
-8,4,1,1
-7.6,4,1,1
-7.2,4,1,1
-6.8,4,1,1
-6.4,4,1,1
-6,4,1,1
-5.6,4,1,1
-5.2,4,1,1
-4.8,4,1,1
-4.4,4,1,1
-4,4,1,1
-3.6,4,1,1
-3.2,4,1,1
-2.8,4,1,1
-2.4,4,1,1
-2,4,1,1
-1.6,4,1,1
-1.2,4,1,1
-0.8,4,1,1
-0.4,4,1,1
0,4,1,1
0.4,4,1,1
0.8,4,1,1
1.2,4,1,1
1.6,4,1,1
2,4,1,1
2.4,4,1,1
2.8,4,1,1
3.2,4,1,1
3.6,4,1,1
4,4,1,1
4.4,4,1,1
4.8,4,1,1
5.2,4,1,1
5.6,4,1,1
6,4,1,1
6.4,4,1,1
6.8,4,1,1
7.2,4,1,1
7.6,4,1,1
8,4,1,1
-8,6,1,1
-7.6,6,1,1
-7.2,6,1,1
-6.8,6,1,1
-6.4,6,1,1
-6,6,1,1
-5.6,6,1,1
-5.2,6,1,1
-4.8,6,1,1
-4.4,6,1,1
-4,6,1,1
-3.6,6,1,1
-3.2,6,1,1
-2.8,6,1,1
-2.4,6,1,1
-2,6,1,1
-1.6,6,1,1
-1.2,6,1,1
-0.8,6,1,1
-0.4,6,1,1
0,6,1,1
0.4,6,1,1
0.8,6,1,1
1.2,6,1,1
1.6,6,1,1
2,6,1,1
2.4,6,1,1
2.8,6,1,1
3.2,6,1,1
3.6,6,1,1
4,6,1,1
4.4,6,1,1
4.8,6,1,1
5.2,6,1,1
5.6,6,1,1
6,6,1,1
6.4,6,1,1
6.8,6,1,1
7.2,6,1,1
7.6,6,1,1
8,6,1,1
-8,8,1,1
-7.6,8,1,1
-7.2,8,1,1
-6.8,8,1,1
-6.4,8,1,1
-6,8,1,1
-5.6,8,1,1
-5.2,8,1,1
-4.8,8,1,1
-4.4,8,1,1
-4,8,1,1
-3.6,8,1,1
-3.2,8,1,1
